LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1742899295.268758,238201.500,36736,4,EM,1,100,RB
1742899295.319008,238251.750,36736,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899295.369259,238302.000,36736,4,EM,1,100,PS
1742899295.419509,238352.250,36769,4,EM,1,100,RS
1742899295.469760,238402.500,36769,4,EM,1,100,RB
1742899295.520010,238452.750,36769,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899295.570261,238503.000,36769,4,EM,1,100,PS
1742899295.620512,238553.250,36801,4,EM,1,100,RS
1742899295.670762,238603.500,36801,4,EM,1,100,RB
1742899295.721013,238653.750,36801,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899295.771263,238704.000,36801,4,EM,1,100,PS
1742899295.821514,238754.250,36836,4,EM,1,100,RS
1742899295.871764,238804.500,36836,4,EM,1,100,RB
1742899295.922015,238854.750,36836,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899295.972265,238905.000,36836,4,EM,1,100,PS
1742899296.045516,238978.250,36873,4,EM,1,100,RS
1742899296.118767,239051.500,36873,4,EM,1,100,RB
1742899296.192018,239124.750,36873,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899296.265268,239198.000,36873,4,EM,1,100,PS
1742899296.315519,239248.250,36907,4,EM,1,100,RS
1742899296.365769,239298.500,36907,4,EM,1,100,RB
