LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1742899340.745244,283677.500,44143,2,EL,1,100,-18770.599609
1742899340.811744,283744.000,44143,2,EL,1,100,-18767.800781
1742899340.878745,283811.000,44161,1,EL,1,100,-18764.599609
1742899340.945246,283877.500,44177,2,EL,1,100,-18761.800781
1742899341.011746,283944.000,44177,2,EL,1,100,-18759.000000
1742899341.078747,284011.000,44193,1,EL,1,100,-18757.800781
1742899341.145248,284077.500,44210,2,EL,1,100,-18757.400391
1742899341.211749,284144.000,44210,2,EL,1,100,-18757.599609
1742899341.278749,284211.000,44227,1,EL,1,100,-18757.000000
1742899341.345250,284277.500,44243,2,EL,1,100,-18756.599609
1742899341.411751,284344.000,44243,2,EL,1,100,-18756.800781
1742899341.478751,284411.000,44260,1,EL,1,100,-18758.000000
1742899341.545252,284477.500,44278,2,EL,1,100,-18758.000000
1742899341.611753,284544.000,44278,2,EL,1,100,-18757.800781
1742899341.678754,284611.000,44294,1,EL,1,100,-18757.400391
1742899341.745254,284677.500,44310,2,EL,1,100,-18756.000000
1742899341.811755,284744.000,44310,2,EL,1,100,-18753.400391
1742899341.878256,284810.500,44326,2,EL,1,100,-18752.199219
1742899341.944757,284877.000,44326,2,EL,1,100,-18750.800781
1742899342.011757,284944.000,44343,1,EL,1,100,-18749.599609
1742899342.078258,285010.500,44359,2,EL,1,100,-18749.000000
1742899342.144758,285077.000,44359,2,EL,1,100,-18748.800781
1742899342.211759,285144.000,44384,2,EL,1,100,-18748.800781
1742899342.278760,285211.000,44384,2,EL,1,100,-18749.800781
1742899342.345761,285278.000,44400,1,EL,1,100,-18749.800781
1742899342.412261,285344.500,44415,2,EL,1,100,-18750.199219
1742899342.478762,285411.000,44415,2,EL,1,100,-18751.199219
1742899342.544763,285477.000,44431,1,EL,1,100,-18751.599609
1742899342.611763,285544.000,44449,2,EL,1,100,-18752.400391
1742899342.678764,285611.000,44449,2,EL,1,100,-18752.800781
1742899342.744765,285677.000,44465,1,EL,1,100,-18753.599609
1742899342.811766,285744.000,44480,2,EL,1,100,-18755.000000
1742899342.878766,285811.000,44480,2,EL,1,100,-18756.000000
1742899342.944767,285877.000,44499,1,EL,1,100,-18756.599609
1742899343.011768,285944.000,44516,2,EL,1,100,-18757.400391
1742899343.078768,286011.000,44516,2,EL,1,100,-18759.000000
1742899343.145269,286077.500,44532,2,EL,1,100,-18759.400391
1742899343.211770,286144.000,44532,2,EL,1,100,-18759.800781
1742899343.278771,286211.000,44550,1,EL,1,100,-18760.599609
1742899343.345271,286277.500,44566,2,EL,1,100,-18760.000000
1742899343.411772,286344.000,44566,2,EL,1,100,-18759.800781
1742899343.478773,286411.000,44583,1,EL,1,100,-18759.800781
1742899343.545274,286477.500,44600,2,EL,1,100,-18760.400391
1742899343.611774,286544.000,44600,2,EL,1,100,-18761.800781
1742899343.678775,286611.000,44619,1,EL,1,100,-18762.400391
1742899343.745276,286677.500,44633,2,EL,1,100,-18763.199219
1742899343.811776,286744.000,44633,2,EL,1,100,-18763.800781
1742899343.878777,286811.000,44650,1,EL,1,100,-18763.800781
1742899343.945278,286877.500,44667,2,EL,1,100,-18764.000000
1742899344.011779,286944.000,44667,2,EL,1,100,-18764.000000
1742899344.078779,287011.000,44684,1,EL,1,100,-18763.400391
1742899344.145280,287077.500,44698,2,EL,1,100,-18762.800781
1742899344.211781,287144.000,44698,2,EL,1,100,-18762.400391
1742899344.278781,287211.000,44716,1,EL,1,100,-18761.400391
1742899344.345282,287277.500,44734,2,EL,1,100,-18761.599609
1742899344.411783,287344.000,44734,2,EL,1,100,-18760.800781
1742899344.478783,287411.000,44751,1,EL,1,100,-18759.800781
1742899344.545284,287477.500,44766,2,EL,1,100,-18759.400391
1742899344.611785,287544.000,44766,2,EL,1,100,-18759.000000
1742899344.677786,287610.000,44783,1,EL,1,100,-18758.199219
1742899344.744786,287677.000,44799,2,EL,1,100,-18757.800781
1742899344.811787,287744.000,44799,2,EL,1,100,-18757.000000
1742899344.878788,287811.000,44816,1,EL,1,100,-18756.000000
1742899344.945288,287877.500,44831,2,EL,1,100,-18756.000000
1742899345.011789,287944.000,44831,2,EL,1,100,-18755.800781
1742899345.078790,288011.000,44850,1,EL,1,100,-18755.199219
1742899345.145291,288077.500,44866,2,EL,1,100,-18755.000000
1742899345.211791,288144.000,44866,2,EL,1,100,-18754.599609
1742899345.278792,288211.000,44884,1,EL,1,100,-18754.599609
1742899345.345293,288277.500,44899,2,EL,1,100,-18754.599609
1742899345.411793,288344.000,44899,2,EL,1,100,-18753.599609
1742899345.478794,288411.000,44915,1,EL,1,100,-18752.599609
1742899345.545295,288477.500,44932,2,EL,1,100,-18752.800781
1742899345.611796,288544.000,44932,2,EL,1,100,-18752.400391
1742899345.678296,288610.500,44951,2,EL,1,100,-18752.199219
1742899345.744797,288677.000,44951,2,EL,1,100,-18752.000000
1742899345.811798,288744.000,44967,1,EL,1,100,-18751.599609
1742899345.878299,288810.500,44983,2,EL,1,100,-18750.800781
1742899345.944799,288877.000,44983,2,EL,1,100,-18751.000000
1742899346.011800,288944.000,44999,1,EL,1,100,-18750.800781
1742899346.078300,289010.500,45016,2,EL,1,100,-18749.800781
1742899346.144801,289077.000,45016,2,EL,1,100,-18749.400391
1742899346.211802,289144.000,45032,1,EL,1,100,-18749.599609
